Monthly Data for January 1995 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
DEEP CANYON LAB, COOP, Riverside, -116.376, 33.651, 1200, 3.72
ELSINORE, COOP, Riverside, -117.346, 33.686, 1268, 10.13
EL TORO MCAS, WBAN, Orange, -117.733, 33.667, 384, 11.97
HAYFIELD PUMPING PLANT, COOP, Riverside, -115.629, 33.704, 1370, 2.09
SUN CITY, COOP, Riverside, -117.190, 33.716, 1420, 8.55
TUSTIN MCAF, WBAN, Orange, -117.833, 33.700, 56, 10.98
IDYLLWILD FIRE DEPT, COOP, Riverside, -116.707, 33.757, 5380, 15.07
SAN JACINTO, COOP, Riverside, -116.975, 33.797, 1525, 8.44
HEMET, COOP, Riverside, -116.894, 33.738, 1811, 7.44
SANTA ANA FIRE STATION, COOP, Orange, -117.867, 33.744, 135, 13.48
EAGLE MOUNTAIN, COOP, Riverside, -115.451, 33.808, 973, 1.77
PALM SPRINGS, COOP, Riverside, -116.510, 33.828, 425, 4.43
LONG BEACH DAUGHERTY AP, WBAN, Los Angeles, -118.147, 33.812, 34, 12.76
PALOS VERDES ES FC43D, COOP, Los Angeles, -118.391, 33.800, 220, 15.39
SNOW CREEK UPPER, COOP, Riverside, -116.680, 33.873, 1940, 9.63
BEAUMONT #2, WBAN, Riverside, -116.990, 33.926, 2591, 12.14
DOWNEY FIRE DEPT. FC107C, COOP, Los Angeles, -118.145, 33.930, 110, 15.96
LOS ANGELES INTL AP, WBAN, Los Angeles, -118.387, 33.938, 97, 12.71
RIVERSIDE FIRE STATION 3, COOP, Riverside, -117.388, 33.951, 840, 8.35
WHITTIER CITY YARD FC106C, COOP, Los Angeles, -118.022, 33.976, 446, 10.61
RIVERSIDE CITRUS EXP, COOP, Riverside, -117.361, 33.967, 986, 8.71
WALNUT NI FC102C, COOP, Los Angeles, -117.866, 34.002, 488, 14.06
MONTEBELLO, COOP, Los Angeles, -118.105, 34.019, 246, 12.40
BARSTOW-DAGGETT AIRPORT, WBAN, San Bernardino, -116.787, 34.854, 1919, 2.04
MERCED, COOP, Merced, -120.516, 37.289, 154, 6.71
SAN DIEGO INTERNATIONAL AP, WBAN, San Diego, -117.183, 32.734, 15, 8.06
SAN DIEGO MIRAMAR NAS, WBAN, San Diego, -117.133, 32.867, 477, 7.14
NORTH ISLAND NAS, WBAN, San Diego, -117.210, 32.692, 14, 5.00
SAN FRANCISCO INTERNATIONAL AP, WBAN, San Mateo, -122.366, 37.620, 10, 8.89
BRAWLEY 2 SW, COOP, Imperial, -115.558, 32.954, -100, 1.37
CEDARVILLE, COOP, Modoc, -120.179, 41.530, 4688, 2.94
CHICO UNIVERSITY FARM, COOP, Butte, -121.821, 39.691, 185, 16.97
CHULA VISTA, COOP, San Diego, -117.086, 32.640, 56, 5.75
COLFAX, COOP, Placer, -120.947, 39.090, 2373, 22.50
CUYAMACA, COOP, San Diego, -116.587, 32.990, 4640, 17.86
DAVIS 2 WSW EXP FARM, COOP, Yolo, -121.776, 38.535, 60, 12.48
DEATH VALLEY NATIONAL PARK, WBAN, Inyo, -116.867, 36.463, -194, 2.59
ELECTRA P H, COOP, Amador, -120.671, 38.331, 715, 13.57
FAIRMONT, COOP, Los Angeles, -118.430, 34.705, 3060, 15.07
FORT BRAGG 5 N, COOP, Mendocino, -123.756, 39.510, 123, 20.67
HANFORD 1 S, COOP, Kings, -119.637, 36.316, 237, 4.70
HAPPY CAMP RANGER STATION, COOP, Siskiyou, -123.375, 41.796, 1142, 20.76
HEALDSBURG, COOP, Sonoma, -122.866, 38.629, 177, 29.90
INDIO FIRE STATION, COOP, Riverside, -116.215, 33.709, -21, 3.66
LAKE SPAULDING, COOP, Nevada, -120.639, 39.318, 5156, 34.42
LEMON COVE, COOP, Tulare, -119.026, 36.382, 513, 6.43
LIVERMORE, COOP, Alameda, -121.751, 37.682, 529, 6.64
LODI, COOP, San Joaquin, -121.288, 38.106, 40, 9.71
MARYSVILLE, COOP, Yuba, -121.585, 39.146, 57, 11.98
NAPA STATE HOSPITAL, COOP, Napa, -122.265, 38.278, 35, 13.66
OJAI, COOP, Ventura, -119.227, 34.448, 745, 24.53
ORLAND, COOP, Glenn, -122.200, 39.746, 254, 17.37
ORLEANS, COOP, Humboldt, -123.539, 41.302, 403, 19.37
PASADENA, COOP, Los Angeles, -118.145, 34.148, 864, 18.46
PASO ROBLES, COOP, San Luis Obispo, -120.685, 35.628, 730, 11.51
PETALUMA AIRPORT, COOP, Sonoma, -122.608, 38.258, 20, 16.31
QUINCY, COOP, Plumas, -120.947, 39.937, 3420, 19.04
REDLANDS, COOP, San Bernardino, -117.195, 34.037, 1410, 9.20
SANTA BARBARA, COOP, Santa Barbara, -119.684, 34.417, 16, 24.20
SANTA CRUZ, COOP, Santa Cruz, -122.000, 36.988, 70, 17.56
SANTA ROSA, COOP, Sonoma, -122.713, 38.456, 166, 17.08
TAHOE CITY, COOP, Placer, -120.143, 39.168, 6230, 16.18
TUSTIN IRVINE RANCH, COOP, Orange, -117.754, 33.703, 235, 11.27
UKIAH, COOP, Mendocino, -123.210, 39.147, 636, 24.76
VACAVILLE, COOP, Solano, -121.961, 38.396, 110, 16.69
WASCO, COOP, Kern, -119.352, 35.589, 291, 3.02
WEAVERVILLE, COOP, Trinity, -122.944, 40.735, 2058, 20.82
WILLOWS 6 W, COOP, Glenn, -122.305, 39.523, 234, 15.46
