Monthly Data for September 1970 for California

Name, StationType, County, Longitude, Latitude, Elevation, TotalPrecipitation
DEEP CANYON LAB, COOP, Riverside, -116.376, 33.651, 1200, 0.00
ELSINORE, COOP, Riverside, -117.346, 33.686, 1268, 0.00
EL TORO MCAS, WBAN, Orange, -117.733, 33.667, 384, T
HAYFIELD PUMPING PLANT, COOP, Riverside, -115.629, 33.704, 1370, 0.10
TUSTIN MCAF, WBAN, Orange, -117.833, 33.700, 56, T
IDYLLWILD FIRE DEPT, COOP, Riverside, -116.707, 33.757, 5380, 0.05
HEMET, COOP, Riverside, -116.894, 33.738, 1811, 0.00
SAN JACINTO, COOP, Riverside, -116.967, 33.783, 1542, 0.00
PERRIS, COOP, Riverside, -117.233, 33.783, 1470, 0.00
SANTA ANA FIRE STATION, COOP, Orange, -117.867, 33.744, 135, 0.00
LONG BEACH AQUARIUM, COOP, Los Angeles, -118.197, 33.761, 20, 0.00
EAGLE MOUNTAIN, COOP, Riverside, -115.451, 33.808, 973, 0.02
PALM SPRINGS, COOP, Riverside, -116.510, 33.828, 425, 0.00
MOUNT SAN JACINTO WSP, COOP, Riverside, -116.633, 33.800, 8425, 0.02
LONG BEACH DAUGHERTY AP, WBAN, Los Angeles, -118.147, 33.812, 34, T
SIGNAL HILL FC 415, COOP, Los Angeles, -118.168, 33.797, 110, 0.00
PALOS VERDES ES FC43D, COOP, Los Angeles, -118.391, 33.800, 220, 0.00
SNOW CREEK UPPER, COOP, Riverside, -116.680, 33.873, 1940, 0.00
CORONA, COOP, Riverside, -117.550, 33.883, 610, 0.00
FULLERTON HILLCREST RE, COOP, Orange, -117.917, 33.883, 331, 0.00
CABAZON, COOP, Riverside, -116.783, 33.917, 1801, 0.00
BEAUMONT #2, WBAN, Riverside, -116.990, 33.926, 2591, 0.00
BEAUMONT, COOP, Riverside, -116.975, 33.929, 2613, 0.00
MARCH AFB, WBAN, Riverside, -117.250, 33.900, 1536, 0.00
YORBA LINDA, COOP, Orange, -117.819, 33.890, 350, 0.00
DOWNEY FIRE DEPT. FC107C, COOP, Los Angeles, -118.145, 33.930, 110, 0.00
LOS ANGELES INTL AP, WBAN, Los Angeles, -118.387, 33.938, 97, T
BEAUMONT PUMPING PLANT, COOP, Riverside, -116.967, 33.983, 3051, 0.00
RIVERSIDE FIRE STATION 3, COOP, Riverside, -117.388, 33.951, 840, 0.00
WHITTIER CITY YARD FC106C, COOP, Los Angeles, -118.022, 33.976, 446, 0.00
RIVERSIDE CITRUS EXP, COOP, Riverside, -117.361, 33.967, 986, 0.00
MORONGO VALLEY, COOP, San Bernardino, -116.583, 34.033, 2562, 0.00
WALNUT NI FC102C, COOP, Los Angeles, -117.866, 34.002, 488, 0.00
CULVER CITY, COOP, Los Angeles, -118.414, 34.005, 92, 0.00
SANTA MONICA, COOP, Los Angeles, -118.483, 34.017, 59, 0.00
SANTA MONICA PIER, COOP, Los Angeles, -118.500, 34.008, 14, 0.00
FONTANA KAISER, COOP, San Bernardino, -117.517, 34.083, 1102, 0.00
POMONA/FAIRPLEX, COOP, Los Angeles, -117.766, 34.082, 999, 0.00
SPADRA LANTERMAN HOSPITAL, COOP, Los Angeles, -117.810, 34.042, 676, 0.00
COVINA CITY YARD FC387B, COOP, Los Angeles, -117.880, 34.092, 607, 0.00
U C L A, COOP, Los Angeles, -118.443, 34.070, 430, 0.00
BEL AIR FC 10A, COOP, Los Angeles, -118.450, 34.083, 541, 0.00
TOPANGA PATROL FC-6, COOP, Los Angeles, -118.599, 34.084, 745, 0.00
LECHUZA PTRL ST FC352B, COOP, Los Angeles, -118.880, 34.076, 1600, 0.00
IRON MOUNTAIN, COOP, San Bernardino, -115.122, 34.147, 922, 0.10
TWENTYNINE PALMS, COOP, San Bernardino, -116.037, 34.128, 1975, 0.00
JOSHUA TREE, COOP, San Bernardino, -116.275, 34.147, 2563, 0.00
SAN BERNARDINO INTERNATIONAL AIRPORT, WBAN, San Bernardino, -117.235, 34.095, 1159, 0.00
SAN BERNARDINO F S 226, COOP, San Bernardino, -117.254, 34.134, 1140, 0.00
UPLAND 3 N, COOP, San Bernardino, -117.650, 34.133, 1611, 0.00
CLAREMONT POMONA COLLEGE, COOP, Los Angeles, -117.717, 34.100, 1201, 0.00
LA VERNE HTS FC 560 B, COOP, Los Angeles, -117.750, 34.117, 1210, 0.00
SAN DIMAS FIRE FC 95, COOP, Los Angeles, -117.802, 34.105, 958, 0.00
GLENDORA FC 287B, COOP, Los Angeles, -117.847, 34.147, 933, 0.00
AZUSA CITY PARK FC 143, COOP, Los Angeles, -117.900, 34.133, 610, 0.00
SAN GABRIEL FIRE DEPT, COOP, Los Angeles, -118.100, 34.084, 363, 0.00
POINT MUGU NF, WBAN, Ventura, -119.123, 34.124, 12, T
ALTADENA, COOP, Los Angeles, -118.138, 34.182, 1127, 0.00
KEE RANCH, COOP, San Bernardino, -116.533, 34.167, 4334, 0.00
FONTANA 5 N, COOP, San Bernardino, -117.450, 34.183, 1972, 0.00
BIG DALTON DAM FC223C, COOP, Los Angeles, -117.817, 34.167, 1591, 0.00
SAN GABRIEL CANYON PH, COOP, Los Angeles, -117.908, 34.155, 744, 0.00
GLENDALE STAPENHORST FC 295, COOP, Los Angeles, -118.267, 34.150, 531, 0.00
BURBANK FIRE DEP FC226, COOP, Los Angeles, -118.300, 34.183, 679, 0.00
VAN NUYS FC15A, COOP, Los Angeles, -118.450, 34.183, 695, 0.00
WOODLAND HILLS PIERCE COLLEGE, COOP, Los Angeles, -118.574, 34.182, 790, 0.00
THOUSAND OAKS, COOP, Ventura, -118.867, 34.217, 810, 0.00
NEWBURY PARK 4 SW, COOP, Ventura, -118.967, 34.150, 781, 0.00
BIG BEAR LAKE DAM, COOP, San Bernardino, -116.975, 34.241, 6815, 0.00
SQUIRREL INN 2, COOP, San Bernardino, -117.233, 34.233, 5682, 0.00
LYTLE CREEK R S, COOP, San Bernardino, -117.471, 34.238, 2730, 0.00
APPLE VALLEY, COOP, San Bernardino, -117.217, 34.517, 2935, 0.00
VICTORVILLE, COOP, San Bernardino, -117.293, 34.529, 2880, 0.00
ACTON ESCONDIDO FC261, COOP, Los Angeles, -118.271, 34.494, 2833, 0.00
GIBRALTAR DAM NO. 2, COOP, Santa Barbara, -119.682, 34.523, 1558, 0.00
SANTA BARBARA TV PEAK, COOP, Santa Barbara, -119.950, 34.533, 4003, 0.00
VICTORVILLE SOUTHERN CALIFORNIA INTL AP, WBAN, San Bernardino, -117.383, 34.583, 2885, 0.00
ADELANTO, COOP, San Bernardino, -117.417, 34.583, 2851, 0.00
PALMDALE, COOP, Los Angeles, -118.094, 34.588, 2612, 0.00
BOUQUET CANYON, COOP, Los Angeles, -118.367, 34.583, 3061, 0.00
SAUGUS POWER PLANT 1, COOP, Los Angeles, -118.454, 34.590, 2161, 0.00
PIEDRA BLANCA GAGING STN, COOP, Ventura, -119.167, 34.567, 3071, 0.00
LOS PRIETOS RS, COOP, Santa Barbara, -119.791, 34.544, 1024, 0.00
CACHUMA LAKE, COOP, Santa Barbara, -119.982, 34.582, 789, 0.00
SALSIPUEDES GAGING STATION, COOP, Santa Barbara, -120.408, 34.585, 254, 0.00
POINT ARGUELLO LIGHT STN, COOP, Santa Barbara, -120.650, 34.583, 89, 0.00
PALMDALE AP, WBAN, Los Angeles, -118.083, 34.629, 2509, 0.00
ELIZABETH LAKE CN FC12, COOP, Los Angeles, -118.567, 34.600, 2080, 0.00
LANCASTER, COOP, Los Angeles, -118.117, 34.683, 2402, 0.00
PINE CANYON PS FC321E, COOP, Los Angeles, -118.433, 34.667, 3291, 0.00
LOMPOC, COOP, Santa Barbara, -120.451, 34.654, 75, 0.00
VANDENBERG AFB, WBAN, Santa Barbara, -120.567, 34.717, 369, 0.03
SANDBERG PTRL FC130B, COOP, Los Angeles, -118.717, 34.750, 4025, 0.00
SANDBERG, WBAN, Los Angeles, -118.725, 34.744, 4510, 0.00
LEBEC, WBAN, Kern, -118.865, 34.833, 3575, 0.00
MITCHELL CAVERNS, COOP, San Bernardino, -115.547, 34.944, 4350, 0.00
BARSTOW, WBAN, San Bernardino, -117.033, 34.900, 2162, 0.00
EDWARDS AFB, WBAN, Kern, -117.867, 34.900, 2311, 0.00
PATTIWAY, COOP, Kern, -119.383, 34.933, 3868, 0.00
CUYAMA, COOP, Santa Barbara, -119.617, 34.933, 2260, 0.00
TWITCHELL DAM, COOP, Santa Barbara, -120.321, 34.988, 582, 0.00
PARKFIELD, COOP, Monterey, -120.433, 35.883, 1480, 0.00
BRADLEY, COOP, Monterey, -120.800, 35.867, 541, 0.00
JOHNSONDALE, COOP, Tulare, -118.533, 35.967, 4682, 0.00
ANGIOLA, COOP, Tulare, -119.483, 35.983, 210, 0.00
LOCKWOOD 1 N, COOP, Monterey, -121.083, 35.967, 1060, 0.00
KETTLEMAN CITY, COOP, Kings, -119.960, 36.007, 240, 0.00
SAN ARDO, COOP, Monterey, -120.900, 36.033, 449, 0.00
JOLON FORT HUNTER LIGGETT, WBAN, Monterey, -121.233, 36.000, -, T
SAN ANTONIO MISSION, COOP, Monterey, -121.250, 36.017, 1060, 0.00
PORTERVILLE, COOP, Tulare, -119.020, 36.068, 393, 0.00
KETTLEMAN STATION, COOP, Kings, -120.088, 36.073, 508, 0.00
HAIWEE, COOP, Inyo, -117.953, 36.139, 3825, 0.00
CORCORAN IRRIGATION DIST., COOP, Kings, -119.582, 36.098, 200, 0.00
SPRINGVILLE 7 ENE, COOP, Tulare, -118.700, 36.167, 2470, 0.00
COALINGA, WBAN, Fresno, -120.361, 36.136, 670, 0.00
PRIEST VALLEY, COOP, Monterey, -120.695, 36.188, 2300, 0.00
KING CITY, COOP, Monterey, -121.138, 36.207, 320, 0.00
LINDSAY, COOP, Tulare, -119.054, 36.203, 435, 0.00
WESTHAVEN, COOP, Fresno, -119.997, 36.227, 285, 0.00
COALINGA 14 WNW, COOP, Fresno, -120.567, 36.233, 1640, 0.00
WILDROSE R S, COOP, Inyo, -117.185, 36.266, 4100, T
VISALIA, COOP, Tulare, -119.300, 36.328, 303, 0.00
FIVE POINTS 5 SSW, COOP, Fresno, -120.156, 36.364, 285, 0.00
PALOMA, COOP, Monterey, -121.540, 36.350, 1775, 0.00
IDRIA, COOP, San Benito, -120.667, 36.417, 2651, 0.00
HERNANDEZ 2 NW, COOP, San Benito, -120.917, 36.417, 2162, 0.00
SOLEDAD, COOP, Monterey, -121.317, 36.433, 210, 0.00
SAN CLEMENTE DAM, COOP, Monterey, -121.709, 36.438, 600, 0.00
ASH MOUNTAIN, COOP, Tulare, -118.825, 36.491, 1708, 0.00
THREE RIVERS ED PH 2, COOP, Tulare, -118.883, 36.467, 951, 0.00
MEADOW LAKE, COOP, Fresno, -119.433, 37.083, 4482, 0.00
AUBERRY 2 NW, COOP, Fresno, -119.513, 37.092, 2090, 0.00
LOS BANOS, COOP, Merced, -120.867, 37.056, 120, 0.00
SAN LUIS DAM, COOP, Merced, -121.058, 37.053, 277, 0.00
PACHECO PASS, COOP, Merced, -121.183, 37.067, 879, 0.00
BEN LOMOND NO. 4, COOP, Santa Cruz, -122.080, 37.086, 420, T
GILROY 14 ENE, COOP, Santa Clara, -121.333, 37.100, 1352, 0.00
MORGAN HILL 2 E, COOP, Santa Clara, -121.617, 37.133, 230, 0.00
WRIGHTS, COOP, Santa Clara, -121.950, 37.133, 1600, 0.00
LOS GATOS 4 SW, COOP, Santa Cruz, -122.033, 37.183, 2415, 0.00
NORTH FORK RS, COOP, Madera, -119.510, 37.233, 2645, 0.00
LE GRAND, COOP, Merced, -120.250, 37.233, 259, 0.00
LOS GATOS, COOP, Santa Clara, -121.959, 37.232, 365, 0.00
BISHOP CREEK INTAKE 2, COOP, Inyo, -118.581, 37.248, 8154, 0.00
NEWMAN, COOP, Stanislaus, -121.018, 37.281, 90, 0.00
MOUNT HAMILTON, WBAN, Santa Clara, -121.635, 37.343, 4220, 0.00
BLACK MOUNTAIN 2 WSW, COOP, Santa Clara, -122.167, 37.317, 2120, 0.00
LA HONDA, COOP, San Mateo, -122.267, 37.317, 751, 0.00
SAN GREGORIO 2 SE, COOP, San Mateo, -122.362, 37.312, 275, 0.01
DEEP SPRINGS COLLEGE, COOP, Inyo, -117.980, 37.374, 5225, 0.00
BISHOP AIRPORT, WBAN, Inyo, -118.359, 37.371, 4110, 0.00
CASTLE AFB, WBAN, Merced, -120.567, 37.383, 191, 0.00
SANTA CLARA UNIVERSITY, COOP, Santa Clara, -121.933, 37.350, 89, 0.00
CATHEYS VALLEY BULL R RANCH, COOP, Mariposa, -120.050, 37.400, 1430, 0.00
DEL PUERTO ROAD CAMP, COOP, Stanislaus, -121.383, 37.417, 1201, 0.00
MOFFETT FEDERAL AIRFIELD, WBAN, Santa Clara, -122.048, 37.406, 39, 0.00
SEARSVILLE LAKE, COOP, San Mateo, -122.233, 37.400, 351, 0.00
MARIPOSA, COOP, Mariposa, -119.967, 37.483, 2011, 0.00
TURLOCK #2, COOP, Stanislaus, -120.846, 37.502, 103, T
CALAVERAS RESERVOIR, COOP, Alameda, -121.817, 37.483, 810, 0.00
PALO ALTO, COOP, Santa Clara, -122.140, 37.444, 25, 0.00
REDWOOD CITY, COOP, San Mateo, -122.239, 37.477, 31, 0.00
HALF MOON BAY, COOP, San Mateo, -122.443, 37.473, 27, 0.00
WHITE MOUNTAIN 1, COOP, Mono, -118.183, 37.500, 10150, T
SO ENTRANCE YOSEMITE N.P., COOP, Mariposa, -119.633, 37.512, 5047, 0.00
DENAIR 3 NNE, COOP, Stanislaus, -120.783, 37.567, 141, 0.00
SAN MATEO, COOP, San Mateo, -122.300, 37.533, 20, 0.00
NEWARK, COOP, Alameda, -122.032, 37.515, 10, 0.00
WHITE MOUNTAIN 2, COOP, Mono, -118.233, 37.583, 12470, T
EXCHEQUER DAM, COOP, Mariposa, -120.267, 37.585, 442, 0.00
BURLINGAME, COOP, San Mateo, -122.350, 37.583, 10, 0.00
MODESTO, COOP, Stanislaus, -121.000, 37.650, 91, 0.00
CASTLE ROCK RAD LAB, COOP, San Joaquin, -121.500, 37.633, 561, 0.00
MODESTO AP, WBAN, Stanislaus, -120.955, 37.625, 87, 0.00
KERLINGER, COOP, San Joaquin, -121.433, 37.683, 177, 0.00
TRACY CARBONA, COOP, San Joaquin, -121.347, 37.682, 135, 0.00
OAKLAND INTERNATIONAL AIRPORT, WBAN, Alameda, -122.233, 37.718, 5, 0.00
GEM LAKE, COOP, Mono, -119.140, 37.752, 8970, 0.00
DUDLEYS, COOP, Mariposa, -120.100, 37.750, 3002, 0.00
UPPER SAN LEANDRO FILTERS, COOP, Alameda, -122.167, 37.772, 394, 0.00
ALAMEDA NAS, WBAN, Alameda, -122.317, 37.783, 14, 0.00
SAN FRANCISCO DOWNTOWN, WBAN, San Francisco, -122.427, 37.771, 150, 0.00
SAN FRANCISCO OCEANSIDE, COOP, San Francisco, -122.505, 37.728, 8, 0.00
GROVELAND RS, COOP, Tuolumne, -120.098, 37.823, 3145, 0.00
KNIGHTS FERRY 2 SE, COOP, Stanislaus, -120.650, 37.800, 341, 0.00
MANTECA, COOP, San Joaquin, -121.200, 37.800, 39, 0.00
TRACY PUMPING PLANT, COOP, Alameda, -121.583, 37.796, 61, 0.00
SAINT MARYS COLLEGE, COOP, Contra Costa, -122.100, 37.833, 620, 0.00
BENTON INSPECTION STN, COOP, Mono, -118.478, 37.843, 5460, 0.00
