"Name","Month","TotalPrecipitation_New"
"Santa Maria Area","2018-01",1.9
"Santa Maria Area","2018-02",0.14
"Santa Maria Area","2018-03",3.44
"Santa Maria Area","2018-04",0.41
"Santa Maria Area","2018-05",0
"Santa Maria Area","2018-06",0
"Santa Maria Area","2018-07",0
"Santa Maria Area","2018-08",0
"Santa Maria Area","2018-09",0
"Santa Maria Area","2018-10",0.35
"Santa Maria Area","2018-11",1.46
"Santa Maria Area","2018-12",0.93
"Santa Maria Area","2019-01",4.73
"Santa Maria Area","2019-02",3.69
"Santa Maria Area","2019-03",3.31
"Santa Maria Area","2019-04",0.3
"Santa Maria Area","2019-05",0.91
"Santa Maria Area","2019-06",0
"Santa Maria Area","2019-07",0
"Santa Maria Area","2019-08",0
"Santa Maria Area","2019-09",0
"Santa Maria Area","2019-10",0
"Santa Maria Area","2019-11",1.98
"Santa Maria Area","2019-12",2.18
"Santa Maria Area","2020-01",0.63
"Santa Maria Area","2020-02",0
"Santa Maria Area","2020-03",3.81
"Santa Maria Area","2020-04",1.79
"Santa Maria Area","2020-05",0.14
"Santa Maria Area","2020-06",0.08
"Santa Maria Area","2020-07",0
"Santa Maria Area","2020-08",0.06
"Santa Maria Area","2020-09",0
"Santa Maria Area","2020-10",0
"Santa Maria Area","2020-11",0.25
"Santa Maria Area","2020-12",1.52
"Santa Maria Area","2021-01",4.13
"Santa Maria Area","2021-02",0.18
"Santa Maria Area","2021-03",0.78
"Santa Maria Area","2021-04",0
"Santa Maria Area","2021-05",0.01
"Santa Maria Area","2021-06",0
"Santa Maria Area","2021-07",0
"Santa Maria Area","2021-08",0
"Santa Maria Area","2021-09",0.01
"Santa Maria Area","2021-10",1.29
"Santa Maria Area","2021-11",0.11
"Santa Maria Area","2021-12",4.69
"Santa Maria Area","2022-01",0.17
"Santa Maria Area","2022-02",0.07
"Santa Maria Area","2022-03",1.07
"Santa Maria Area","2022-04",0.39
"Santa Maria Area","2022-05",0
"Santa Maria Area","2022-06",0
"Santa Maria Area","2022-07",0
"Santa Maria Area","2022-08",0
"Santa Maria Area","2022-09",1.84
"Santa Maria Area","2022-10",0
"Santa Maria Area","2022-11",0.99
"Santa Maria Area","2022-12",4.96
"Santa Maria Area","2023-01",7.4
"Santa Maria Area","2023-02",3.78
"Santa Maria Area","2023-03",6.05
"Santa Maria Area","2023-04",0
"Santa Maria Area","2023-05",0.29
"Santa Maria Area","2023-06",0.36
"Santa Maria Area","2023-07",0
"Santa Maria Area","2023-08",0.22
"Santa Maria Area","2023-09",0.12
"Santa Maria Area","2023-10",0
"Santa Maria Area","2023-11",0.35
"Santa Maria Area","2023-12",2.26
"Santa Maria Area","2024-01",1.73
"Santa Maria Area","2024-02",5.9
"Santa Maria Area","2024-03",3.59
"Santa Maria Area","2024-04",2.54
"Santa Maria Area","2024-05",0.12
"Santa Maria Area","2024-06",0
"Santa Maria Area","2024-07",0
"Santa Maria Area","2024-08",0
"Santa Maria Area","2024-09",0.04
"Santa Maria Area","2024-10",0
"Santa Maria Area","2024-11",1.16
"Santa Maria Area","2024-12",0.38
"Santa Maria Area","2025-01",0.24
"Santa Maria Area","2025-02",0.41
