"Name","Month","TotalPrecipitation_New"
"Mount Shasta Area","2018-01",4.28
"Mount Shasta Area","2018-02",0.78
"Mount Shasta Area","2018-03",5.06
"Mount Shasta Area","2018-04",2.35
"Mount Shasta Area","2018-05",2.07
"Mount Shasta Area","2018-06",0.02
"Mount Shasta Area","2018-07",0.47
"Mount Shasta Area","2018-08",0
"Mount Shasta Area","2018-09",0.25
"Mount Shasta Area","2018-10",0.57
"Mount Shasta Area","2018-11",4.16
"Mount Shasta Area","2018-12",3.68
"Mount Shasta Area","2019-01",5.52
"Mount Shasta Area","2019-02",15.6
"Mount Shasta Area","2019-03",5.69
"Mount Shasta Area","2019-04",3.53
"Mount Shasta Area","2019-05",5.66
"Mount Shasta Area","2019-06",0.32
"Mount Shasta Area","2019-07",0
"Mount Shasta Area","2019-08",0
"Mount Shasta Area","2019-09",1.45
"Mount Shasta Area","2019-10",0.21
"Mount Shasta Area","2019-11",2.47
"Mount Shasta Area","2019-12",6.25
"Mount Shasta Area","2020-01",3.85
"Mount Shasta Area","2020-02",0.12
"Mount Shasta Area","2020-03",2.23
"Mount Shasta Area","2020-04",2
"Mount Shasta Area","2020-05",3.39
"Mount Shasta Area","2020-06",0.7
"Mount Shasta Area","2020-07",0.48
"Mount Shasta Area","2020-08",0.1
"Mount Shasta Area","2020-09",0
"Mount Shasta Area","2020-10",0.01
"Mount Shasta Area","2020-11",1.69
"Mount Shasta Area","2020-12",1.88
"Mount Shasta Area","2021-01",7.86
"Mount Shasta Area","2021-02",2.14
"Mount Shasta Area","2021-03",3.57
"Mount Shasta Area","2021-04",0.46
"Mount Shasta Area","2021-05",0.65
"Mount Shasta Area","2021-06",0.2
"Mount Shasta Area","2021-07",0.24
"Mount Shasta Area","2021-08",0
"Mount Shasta Area","2021-09",0.83
"Mount Shasta Area","2021-10",6.19
"Mount Shasta Area","2021-11",3.11
"Mount Shasta Area","2021-12",4.05
"Mount Shasta Area","2022-01",0.96
"Mount Shasta Area","2022-02",0.09
"Mount Shasta Area","2022-03",0.9
"Mount Shasta Area","2022-04",2.47
"Mount Shasta Area","2022-05",0.54
"Mount Shasta Area","2022-06",0.43
"Mount Shasta Area","2022-07",0.32
"Mount Shasta Area","2022-08",1.15
"Mount Shasta Area","2022-09",1.09
"Mount Shasta Area","2022-10",0.1
"Mount Shasta Area","2022-11",3.23
"Mount Shasta Area","2022-12",5.8
"Mount Shasta Area","2023-01",16.75
"Mount Shasta Area","2023-02",3.83
"Mount Shasta Area","2023-03",10.01
"Mount Shasta Area","2023-04",1.18
"Mount Shasta Area","2023-05",1.78
"Mount Shasta Area","2023-06",0.9
"Mount Shasta Area","2023-07",0
"Mount Shasta Area","2023-08",0.69
"Mount Shasta Area","2023-09",1.61
"Mount Shasta Area","2023-10",0
"Mount Shasta Area","2023-11",1.85
"Mount Shasta Area","2023-12",6.92
"Mount Shasta Area","2024-01",10.85
"Mount Shasta Area","2024-02",11.92
"Mount Shasta Area","2024-03",4.08
"Mount Shasta Area","2024-04",2.45
"Mount Shasta Area","2024-05",1.39
"Mount Shasta Area","2024-06",0
"Mount Shasta Area","2024-07",0
"Mount Shasta Area","2024-08",0.95
"Mount Shasta Area","2024-09",0.43
"Mount Shasta Area","2024-10",0.49
"Mount Shasta Area","2024-11",2.8
