"","Basin  Site Name","Elevation","Snow Totals","Daily Median Snow Totals","MedianPeak(in)","Median PeakDate","Percent of Today's Median","Percent of Median Peak","Basin"
"1","Leavitt Lake","9600","4.4","4.8","59.0","Apr 25","92*","7*","WALKER RIVER"
"2","Virginia Lakes Ridge","9400","2.0","0.6","16.2","Apr 18","333*","12*","WALKER RIVER"
"3","Summit Meadow","9360","1.6","0.6","20.7","Apr 05","267*","8*","WALKER RIVER"
"4","Lobdell Lake","9260","1.1","0.4","16.6","Apr 04","275*","7*","WALKER RIVER"
"5","Sonora Pass","8770","1.1","1.2","23.4","Apr 17","92*","5*","WALKER RIVER"
"6","Monitor Pass","8320","-M","0.6","15.6","Mar 28","*","*","WALKER RIVER"
"7","Willow Flat CA","8220","1.0","N/A","N/A","N/A","*","*","WALKER RIVER"
"8","Leavitt Meadows","7200","0.3","0.0","N/A","N/A","*","*","WALKER RIVER"
