"","Basin  Site Name","Elevation","Snow Totals","Daily Median Snow Totals","MedianPeak(in)","Median PeakDate","Percent of Today's Median","Percent of Median Peak","Basin"
"1","Lamoille Upper","8990","6.7","N/A","N/A","N/A","*","*","CLOVER VALLEY & FRANKLIN RIVER"
"2","Corral Canyon","8440","3.0","9.8","18.0","Apr 17","31","17","CLOVER VALLEY & FRANKLIN RIVER"
"3","Green Mountain","8180","3.5","10.9","15.6","Mar 22","32","22","CLOVER VALLEY & FRANKLIN RIVER"
"4","Hole-in-Mountain","8170","2.8","11.0","17.3","Apr 01","25","16","CLOVER VALLEY & FRANKLIN RIVER"
"5","Lamoille #3","8040","2.8","9.2","13.5","Mar 25","30","21","CLOVER VALLEY & FRANKLIN RIVER"
"6","Dorsey Basin","7900","3.0","9.3","15.2","Apr 05","32","20","CLOVER VALLEY & FRANKLIN RIVER"
"7","Pole Canyon","7760","4.1","N/A","N/A","N/A","*","*","CLOVER VALLEY & FRANKLIN RIVER"
