"","Basin  Site Name","Elevation","Snow Totals","Daily Median Snow Totals","MedianPeak(in)","Median PeakDate","Percent of Today's Median","Percent of Median Peak","Basin"
"1","Bristlecone Trail","8890","23.4","0.2","7.9","Mar 10","11700*","296*","SOUTHERN NEVADA - Spring Mountains"
"2","Lee Canyon","8626","19.9","2.0","8.6","Mar 13","995","231","SOUTHERN NEVADA - Spring Mountains"
"3","Rainbow Canyon","7860","22.0","0.0","6.4","Mar 02","*","344*","SOUTHERN NEVADA - Spring Mountains"
